name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season
Chris Basham 423,Sheffield Utd,123,DEF,0,1,13,4,0,37,0,0,0,0,6,45,3.0,1180.0,1200.0,1170.0,1180.0,1050.0,1110.0,2019-20
Harry Maguire 160,Man Utd,123,DEF,1,0,13,6,0,36,0,0,0,0,5,55,4.0,1220.0,1300.0,1260.0,1330.0,1180.0,1260.0,2019-20
Dwight McNeil 97,Burnley,123,MID,2,7,16,5,0,48,0,0,0,0,6,60,3.0,1110.0,1180.0,1130.0,1070.0,970.0,1110.0,2019-20
Ricardo Domingos Barbosa Pereira 159,Leicester,123,DEF,3,2,10,1,0,27,0,0,0,0,11,60,3.0,1210.0,1160.0,1150.0,1080.0,1210.0,1100.0,2019-20
Alisson Ramses Becker 189,Liverpool,122,GK,0,1,13,0,1,24,0,0,0,58,11,60,5.0,1340.0,1350.0,1310.0,1320.0,1310.0,1330.0,2019-20
Wilfried Zaha 133,Crystal Palace,120,MID,4,6,9,5,0,46,0,0,0,0,4,70,3.0,1130.0,1120.0,1080.0,1180.0,1040.0,1040.0,2019-20
Lucas Digne 141,Everton,120,DEF,0,8,9,6,0,49,1,0,0,0,16,60,3.0,1100.0,1240.0,1100.0,1210.0,1170.0,1180.0,2019-20
Çaglar Söyüncü 164,Leicester,120,DEF,1,1,12,4,1,35,0,0,0,0,12,45,3.0,1210.0,1160.0,1150.0,1080.0,1210.0,1100.0,2019-20
Ashley Westwood 101,Burnley,118,MID,2,7,15,9,0,39,0,0,0,0,11,55,3.0,1110.0,1180.0,1130.0,1070.0,970.0,1110.0,2019-20
Alexandre Lacazette 12,Arsenal,118,FWD,10,7,5,8,0,25,0,0,0,0,16,95,4.0,1180.0,1240.0,1170.0,1170.0,1150.0,1200.0,2019-20
Conor Coady 403,Wolves,118,DEF,0,0,13,5,0,40,0,0,0,0,7,50,4.0,1230.0,1190.0,1180.0,1230.0,1200.0,1200.0,2019-20
James Ward-Prowse 321,Southampton,117,MID,5,4,9,9,0,60,0,2,0,0,8,60,3.0,1150.0,1040.0,1080.0,1050.0,1110.0,1080.0,2019-20
Jordan Pickford 148,Everton,117,GK,0,0,9,2,0,56,0,0,0,94,5,55,3.0,1100.0,1240.0,1100.0,1210.0,1170.0,1180.0,2019-20
Bamidele Alli 344,Spurs,117,MID,8,6,4,2,0,25,0,0,0,0,12,85,4.0,1180.0,1240.0,1100.0,1130.0,1200.0,1140.0,2019-20
Youri Tielemans 448,Leicester,117,MID,3,6,12,2,0,35,0,0,0,0,5,65,3.0,1210.0,1160.0,1150.0,1080.0,1210.0,1100.0,2019-20
Jordan Henderson 198,Liverpool,116,MID,4,5,16,2,0,14,0,0,0,0,11,55,5.0,1340.0,1350.0,1310.0,1320.0,1310.0,1330.0,2019-20
Bernardo Mota Veiga de Carvalho e Silva 218,Man City,116,MID,6,7,9,5,0,24,0,0,0,0,7,80,5.0,1330.0,1340.0,1260.0,1270.0,1320.0,1320.0,2019-20
Victor Lindelöf 225,Man Utd,116,DEF,1,0,12,6,0,32,1,0,0,0,9,55,4.0,1220.0,1300.0,1260.0,1330.0,1180.0,1260.0,2019-20
Callum Wilson 67,Bournemouth,116,FWD,8,6,4,9,0,53,0,0,0,0,8,80,2.0,1020.0,1020.0,990.0,1030.0,1000.0,1050.0,2019-20
Benjamin Chilwell 161,Leicester,114,DEF,3,3,9,3,0,26,0,0,0,0,8,55,3.0,1210.0,1160.0,1150.0,1080.0,1210.0,1100.0,2019-20
Bernd Leno 14,Arsenal,114,GK,0,0,7,2,0,39,0,0,1,113,10,50,4.0,1180.0,1240.0,1170.0,1170.0,1150.0,1200.0,2019-20
Kyle Walker 203,Man City,114,DEF,1,4,12,5,0,24,0,0,0,0,7,60,5.0,1330.0,1340.0,1260.0,1270.0,1320.0,1320.0,2019-20
João Filipe Iria Santos Moutinho 415,Wolves,113,MID,1,7,11,7,0,36,0,0,0,0,12,55,4.0,1230.0,1190.0,1180.0,1230.0,1200.0,1200.0,2019-20
Abdoulaye Doucouré 368,Watford,113,MID,4,4,10,9,0,61,1,0,0,0,9,60,3.0,1030.0,1140.0,1120.0,1120.0,1020.0,1150.0,2019-20
Jack O'Connell 293,Sheffield Utd,111,DEF,0,1,12,4,0,28,0,0,0,0,6,45,3.0,1180.0,1200.0,1170.0,1180.0,1050.0,1110.0,2019-20
Todd Cantwell 287,Norwich,111,MID,6,2,6,6,0,54,0,0,0,0,10,45,2.0,980.0,1020.0,1030.0,1040.0,990.0,990.0,2019-20
Michail Antonio 389,West Ham,111,MID,10,4,3,3,0,30,0,0,0,0,8,70,2.0,1040.0,1030.0,1000.0,1030.0,1030.0,1150.0,2019-20
Ben Mee 83,Burnley,110,DEF,1,2,13,7,0,45,0,0,0,0,6,50,3.0,1110.0,1180.0,1130.0,1070.0,970.0,1110.0,2019-20
Miguel Almirón 266,Newcastle,109,MID,4,2,12,5,0,48,0,0,0,0,5,60,3.0,1090.0,1100.0,1030.0,1040.0,980.0,990.0,2019-20
Troy Deeney 362,Watford,109,FWD,10,2,6,3,0,39,0,1,0,0,15,65,3.0,1030.0,1140.0,1120.0,1120.0,1020.0,1150.0,2019-20
Patrick van Aanholt 123,Crystal Palace,109,DEF,3,2,8,0,0,38,1,0,0,0,12,55,3.0,1130.0,1120.0,1080.0,1180.0,1040.0,1040.0,2019-20
Tim Krul 280,Norwich,109,GK,0,0,5,4,0,68,1,0,2,131,10,45,2.0,980.0,1020.0,1030.0,1040.0,990.0,990.0,2019-20
Nathan Redmond 320,Southampton,107,MID,4,4,7,2,0,51,0,0,0,0,8,65,3.0,1150.0,1040.0,1080.0,1050.0,1110.0,1080.0,2019-20
Georginio Wijnaldum 199,Liverpool,107,MID,4,0,12,0,0,28,0,0,0,0,5,55,5.0,1340.0,1350.0,1310.0,1320.0,1310.0,1330.0,2019-20
Ismaïla Sarr 525,Watford,107,MID,5,7,6,1,0,35,0,0,0,0,7,65,3.0,1030.0,1140.0,1120.0,1120.0,1020.0,1150.0,2019-20
Nicolas Pépé 488,Arsenal,106,MID,5,6,5,4,0,30,0,0,0,0,9,95,4.0,1180.0,1240.0,1170.0,1170.0,1150.0,1200.0,2019-20
Mark Noble 396,West Ham,105,MID,4,4,7,5,0,44,0,0,0,0,8,50,2.0,1040.0,1030.0,1000.0,1030.0,1030.0,1150.0,2019-20
Jonjo Shelvey 269,Newcastle,105,MID,6,2,8,3,0,34,0,0,0,0,15,50,3.0,1090.0,1100.0,1030.0,1040.0,980.0,990.0,2019-20
Declan Rice 395,West Ham,105,MID,1,5,7,6,0,62,0,0,0,0,8,50,2.0,1040.0,1030.0,1000.0,1030.0,1030.0,1150.0,2019-20
