name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,count_gws_min_minutes,minutes_played,min_gw,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season,promoted_from_championship
Hal Robson-Kanu,West Brom,32,FWD,2,0,4,2,1,14,0,0,0,0,1,50,7.0,816,1,2,0,0,0,0,0,0,2017-18,0
Scott Dann,Crystal Palace,32,DEF,1,0,1,4,0,26,0,0,0,0,0,50,16.0,1434,1,2,0,0,0,0,0,0,2017-18,0
Daniel Sturridge,West Brom,32,FWD,2,1,3,0,0,8,0,0,0,0,0,80,5.0,541,1,2,0,0,0,0,0,0,2017-18,0
Marc Pugh,Bournemouth,32,MID,0,0,5,2,0,17,0,0,0,0,0,50,9.0,974,1,2,0,0,0,0,0,0,2017-18,0
Harry Winks,Spurs,31,MID,0,1,4,0,0,9,0,0,0,0,0,50,7.0,768,1,1,0,0,0,0,0,0,2017-18,0
Jesé Rodríguez Ruiz,Stoke,31,MID,1,1,1,0,0,17,0,0,0,0,2,60,6.0,609,2,2,0,0,0,0,0,0,2017-18,0
Terence Kongolo,Huddersfield,30,DEF,0,0,2,0,0,14,0,0,0,0,2,45,10.0,1047,23,1,0,0,0,0,0,0,2017-18,1
Luciano Narsingh,Swansea,30,MID,1,0,1,0,0,15,0,0,0,0,3,50,3.0,614,1,2,0,0,0,0,0,0,2017-18,0
Edimilson Fernandes,West Ham,29,MID,0,2,2,1,0,20,0,0,0,0,0,45,8.0,840,1,2,0,0,0,0,0,0,2017-18,0
Daley Blind,Man Utd,28,DEF,0,0,4,0,0,0,0,0,0,0,1,55,4.0,360,1,4,0,0,0,0,0,0,2017-18,0
Danny Williams,Huddersfield,28,MID,0,0,0,2,0,22,0,0,0,0,0,50,10.0,1115,1,1,0,0,0,0,0,0,2017-18,1
Aleksandar Dragovic,Leicester,28,DEF,0,0,4,2,0,14,0,0,0,0,0,50,8.0,766,4,2,0,0,0,0,0,0,2017-18,0
Marvin Zeegelaar,Watford,28,DEF,0,2,2,4,1,18,0,0,0,0,5,45,10.0,993,4,2,0,0,0,0,0,0,2017-18,0
Rob Holding,Arsenal,27,DEF,0,1,3,3,0,17,0,0,0,0,1,50,9.0,819,1,4,0,0,0,0,0,0,2017-18,0
Harry Arter,Bournemouth,27,MID,1,0,3,4,0,13,0,0,0,0,0,50,10.0,959,1,2,0,0,0,0,0,0,2017-18,0
Matteo Darmian,Man Utd,27,DEF,0,0,3,0,0,3,0,0,0,0,3,55,5.0,443,1,4,0,0,0,0,0,0,2017-18,0
Matty James,Leicester,26,MID,0,0,4,2,0,15,0,0,0,0,0,45,11.0,991,1,2,0,0,0,0,0,0,2017-18,0
Ainsley Maitland-Niles,Arsenal,25,MID,0,0,3,1,0,16,0,0,0,0,0,45,8.0,908,5,4,0,0,0,0,0,0,2017-18,0
Gerard Deulofeu,Watford,25,MID,1,1,2,0,0,3,0,0,0,0,3,60,5.0,433,25,2,0,0,0,0,0,0,2017-18,0
Beram Kayal,Brighton,25,MID,0,0,1,2,0,14,0,0,0,0,0,45,6.0,735,1,1,0,0,0,0,0,0,2017-18,1
Islam Slimani,Newcastle,25,FWD,1,1,1,1,0,4,0,0,0,0,1,70,2.0,369,1,1,0,0,0,0,0,0,2017-18,1
Michy Batshuayi,Chelsea,25,FWD,2,1,1,0,0,7,1,0,0,0,3,85,1.0,351,1,5,0,0,0,0,0,0,2017-18,0
Benik Afobe,Bournemouth,24,FWD,0,1,0,0,0,12,0,0,0,0,0,60,4.0,534,1,2,0,0,0,0,0,0,2017-18,0
Daniel Drinkwater,Chelsea,24,MID,1,0,1,0,0,7,0,0,0,0,1,50,5.0,520,1,5,0,0,0,0,0,0,2017-18,0
