name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season,promoted_from_championship
Odsonne Edouard,Crystal Palace,62,FWD,6,0,6,3,0,16,0,0,0,0,9,55,3,1070,1100,1080,1120,1060,1085,2023-24,0
Calvin Bassey,Fulham,62,DEF,1,0,6,4,1,41,0,0,0,0,4,45,3,1055,1175,1050,1180,1060,1170,2023-24,0
Tahith Chong,Luton,61,MID,3,2,0,3,0,44,0,0,0,0,3,50,2,1055,1090,1020,1060,1090,1120,2023-24,1
Robert Sánchez,Chelsea,59,GK,0,0,3,2,0,25,0,0,1,53,7,45,3,1125,1190,1080,1150,1170,1230,2023-24,0
Edson Álvarez Velázquez,West Ham,59,MID,1,1,5,9,0,38,0,0,0,0,3,50,3,1100,1145,1055,1140,1150,1150,2023-24,0
Matty Cash,Aston Villa,59,DEF,2,2,3,7,0,35,1,0,0,0,4,45,4,1160,1285,1140,1220,1180,1350,2023-24,0
Jan Paul van Hecke,Brighton,59,DEF,0,0,5,4,0,38,0,0,0,0,3,40,3,1100,1210,1070,1180,1135,1240,2023-24,0
Chris Richards,Crystal Palace,59,DEF,1,1,4,3,0,38,0,0,0,0,4,40,3,1070,1100,1080,1120,1060,1085,2023-24,0
Kristoffer Ajer,Brentford,58,DEF,2,0,5,5,0,31,0,0,0,0,3,45,3,1100,1100,1110,1055,1090,1150,2023-24,0
Scott McTominay,Man Utd,58,MID,3,0,7,2,0,21,0,0,0,0,2,50,3,1125,1220,1130,1210,1120,1230,2023-24,0
Willy Boly,Nott'm Forest,58,DEF,2,1,3,1,0,22,0,0,0,0,7,45,3,1065,1100,1050,1125,1080,1080,2023-24,0
Cody Gakpo,Liverpool,58,FWD,4,3,5,0,0,13,0,0,0,0,4,75,4,1240,1370,1210,1350,1270,1390,2023-24,0
Danilo dos Santos de Oliveira,Nott'm Forest,57,MID,2,2,1,2,0,36,0,0,0,0,4,55,3,1065,1100,1050,1125,1080,1080,2023-24,0
Danny Welbeck,Brighton,57,FWD,3,3,8,2,0,20,0,0,0,0,2,60,3,1100,1210,1070,1180,1135,1240,2023-24,0
Youri Tielemans,Aston Villa,56,MID,2,4,4,2,0,21,0,0,0,0,2,60,4,1160,1285,1140,1220,1180,1350,2023-24,0
Jayden Bogle,Sheffield Utd,56,DEF,2,3,3,9,0,73,1,0,0,0,0,45,2,1030,1040,1045,1020,1020,1060,2023-24,1
Josh Brownhill,Burnley,56,MID,2,1,2,3,0,45,0,0,0,0,0,50,2,1045,1050,1050,1050,1040,1050,2023-24,1
Billy Gilmour,Brighton,56,MID,0,3,6,7,1,35,0,0,0,0,4,50,3,1100,1210,1070,1180,1135,1240,2023-24,0
Will Hughes,Crystal Palace,53,MID,0,2,8,6,0,30,0,0,0,0,2,50,3,1070,1100,1080,1120,1060,1085,2023-24,0
Carlos Henrique Casimiro,Man Utd,53,MID,1,2,5,6,0,31,0,0,0,0,0,55,3,1125,1220,1130,1210,1120,1230,2023-24,0
Milos Kerkez,Bournemouth,53,DEF,0,2,6,3,1,34,1,0,0,0,1,45,3,1100,1100,1055,1130,1145,1075,2023-24,0
Amadou Onana,Everton,52,MID,1,0,5,3,0,30,0,0,0,0,3,50,3,1095,1100,1125,1125,1065,1080,2023-24,0
Ibrahima Konaté,Liverpool,51,DEF,0,0,6,3,1,15,0,0,0,0,2,50,4,1240,1370,1210,1350,1270,1390,2023-24,0
Sven Botman,Newcastle,50,DEF,2,2,3,2,0,29,1,0,0,0,4,45,3,1105,1280,1050,1210,1160,1355,2023-24,0
Joel Ward,Crystal Palace,50,DEF,0,1,5,4,0,33,1,0,0,0,0,45,3,1070,1100,1080,1120,1060,1085,2023-24,0
Victor da Silva,Burnley,50,DEF,0,2,2,1,0,43,0,0,0,0,2,45,2,1045,1050,1050,1050,1040,1050,2023-24,1
Diego Carlos Santos Silva,Aston Villa,49,DEF,0,0,6,4,0,29,0,0,0,0,1,45,4,1160,1285,1140,1220,1180,1350,2023-24,0
Dean Henderson,Crystal Palace,48,GK,0,0,4,2,0,30,2,0,0,58,2,45,3,1070,1100,1080,1120,1060,1085,2023-24,0
Ryan Yates,Nott'm Forest,48,MID,1,1,1,3,0,31,0,0,0,0,1,50,3,1065,1100,1050,1125,1080,1080,2023-24,0
Mateo Kovačić,Man City,46,MID,1,0,9,4,0,9,0,0,0,0,2,50,5,1355,1365,1350,1360,1360,1370,2023-24,0
Charlie Taylor,Burnley,45,DEF,1,1,2,8,0,42,0,0,0,0,1,40,2,1045,1050,1050,1050,1040,1050,2023-24,1
Aaron Wan-Bissaka,Man Utd,45,DEF,0,2,3,4,0,34,0,0,0,0,5,45,3,1125,1220,1130,1210,1120,1230,2023-24,0
Olu Aina,Nott'm Forest,43,DEF,1,1,2,3,0,37,0,0,0,0,2,45,3,1065,1100,1050,1125,1080,1080,2023-24,0
Yves Bissouma,Spurs,43,MID,0,0,7,8,1,34,0,0,0,0,0,50,4,1170,1230,1110,1150,1230,1310,2023-24,0
Jason Steele,Brighton,42,GK,0,0,2,0,0,34,0,0,0,43,5,45,3,1100,1210,1070,1180,1135,1240,2023-24,0
Matt Turner,Nott'm Forest,42,GK,0,0,2,1,0,28,0,0,0,55,0,40,3,1065,1100,1050,1125,1080,1080,2023-24,0
Marc Cucurella Saseta,Chelsea,42,DEF,0,3,4,10,0,32,1,0,0,0,3,50,3,1125,1190,1080,1150,1170,1230,2023-24,0
Gabriel Osho,Luton,41,DEF,2,0,2,3,0,47,0,0,0,0,1,45,2,1055,1090,1020,1060,1090,1120,2023-24,1
Issa Diop,Fulham,41,DEF,0,0,5,2,1,25,0,0,0,0,3,45,3,1055,1175,1050,1180,1060,1170,2023-24,0
Boubacar Kamara,Aston Villa,40,MID,0,1,7,7,1,22,0,0,0,0,1,50,4,1160,1285,1140,1220,1180,1350,2023-24,0
Lloyd Kelly,Bournemouth,40,DEF,0,0,4,2,0,26,0,0,0,0,5,45,3,1100,1100,1055,1130,1145,1075,2023-24,0
Orel Mangala,Nott'm Forest,39,MID,1,0,3,5,0,31,0,0,0,0,0,50,3,1065,1100,1050,1125,1080,1080,2023-24,0
Tim Ream,Fulham,39,DEF,1,0,3,2,1,31,0,0,0,0,4,45,3,1055,1175,1050,1180,1060,1170,2023-24,0
Teden Mengi,Luton,39,DEF,1,0,1,3,0,59,0,0,0,0,1,40,2,1055,1090,1020,1060,1090,1120,2023-24,1
Reece Burke,Luton,38,DEF,0,4,1,4,0,34,0,0,0,0,2,40,2,1055,1090,1020,1060,1090,1120,2023-24,1
Nayef Aguerd,West Ham,36,DEF,1,0,2,1,1,44,0,0,0,0,0,45,3,1100,1145,1055,1140,1150,1150,2023-24,0
Amari'i Bell,Luton,33,DEF,0,0,2,0,0,41,0,0,0,0,3,40,2,1055,1090,1020,1060,1090,1120,2023-24,1
Jack Robinson,Sheffield Utd,31,DEF,1,1,1,10,0,82,2,0,0,0,1,45,2,1030,1040,1045,1020,1020,1060,2023-24,1
Neco Williams,Nott'm Forest,31,DEF,0,1,1,3,0,29,0,0,0,0,2,45,3,1065,1100,1050,1125,1080,1080,2023-24,0
Issa Kaboré,Luton,30,DEF,0,3,0,6,0,33,1,0,0,0,3,40,2,1055,1090,1020,1060,1090,1120,2023-24,1
Anel Ahmedhodžić,Sheffield Utd,30,DEF,2,0,1,9,1,86,0,0,0,0,4,45,2,1030,1040,1045,1020,1020,1060,2023-24,1
Igor Julio dos Santos de Paulo,Brighton,30,DEF,0,0,2,4,0,24,0,0,0,0,1,45,3,1100,1210,1070,1180,1135,1240,2023-24,0
Auston Trusty,Sheffield Utd,27,DEF,0,0,1,4,0,77,0,0,0,0,0,40,2,1030,1040,1045,1020,1020,1060,2023-24,1
Moussa Niakhaté,Nott'm Forest,24,DEF,1,0,1,3,1,34,0,0,0,0,1,45,3,1065,1100,1050,1125,1080,1080,2023-24,0
