name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,count_gws_min_minutes,minutes_played,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season,promoted_from_championship
Miguel Almirón,Newcastle,97,MID,4,2,5,3,0,48,0,0,0,0,8,60,26.0,2426,2,1050,1070,1050,1060,1030,1110,2020-21,0
Joël Veltman,Brighton,96,DEF,1,1,9,3,0,27,0,0,0,0,10,45,24.0,2280,3,1130,1130,1150,1190,1100,1130,2020-21,0
Kieran Tierney,Arsenal,96,DEF,1,4,8,4,0,27,0,0,0,0,4,55,25.0,2299,4,1200,1250,1130,1150,1220,1210,2020-21,0
Alex McCarthy,Southampton,94,GK,0,0,7,2,0,57,0,0,0,93,8,45,29.0,2700,3,1060,1100,1030,1110,1110,1160,2020-21,0
Adama Traoré,Wolves,94,MID,2,4,7,4,0,41,0,0,0,0,5,65,26.0,2640,3,1080,1110,1120,1130,1040,1120,2020-21,0
Timothy Castagne,Leicester,94,DEF,2,4,6,1,0,37,0,0,0,0,7,55,22.0,2345,4,1240,1260,1190,1150,1150,1230,2020-21,0
Jan Bednarek,Southampton,94,DEF,1,1,9,5,1,62,1,0,0,0,11,45,31.0,3100,3,1060,1100,1030,1110,1110,1160,2020-21,0
Héctor Bellerín,Arsenal,94,DEF,1,3,7,8,0,24,0,0,0,0,17,50,23.0,2089,4,1200,1250,1130,1150,1220,1210,2020-21,0
Andros Townsend,Crystal Palace,94,MID,1,5,7,0,0,37,0,0,0,0,8,60,24.0,2250,3,1090,1110,1030,1120,1010,1020,2020-21,0
Kyle Walker-Peters,Southampton,93,DEF,0,3,9,4,0,41,0,0,0,0,7,45,28.0,2646,3,1060,1100,1030,1110,1110,1160,2020-21,0
Antonio Rüdiger,Chelsea,93,DEF,1,0,11,0,0,10,1,0,0,0,9,50,17.0,1710,4,1250,1280,1260,1300,1250,1310,2020-21,0
Thiago Thiago,Chelsea,92,DEF,2,0,10,3,1,25,0,0,0,0,10,55,20.0,1935,4,1250,1280,1260,1300,1250,1310,2020-21,0
Kai Havertz,Chelsea,91,MID,4,6,8,2,0,15,0,0,0,0,3,85,17.0,1512,4,1250,1280,1260,1300,1250,1310,2020-21,0
Rodrigo Moreno,Leeds,89,FWD,7,4,3,3,0,21,0,0,0,0,16,60,10.0,1279,3,1160,1170,1060,1150,1210,1170,2020-21,1
Bobby Decordova-Reid,Fulham,88,FWD,5,3,9,7,0,32,0,0,0,0,6,55,26.0,2367,3,1090,1100,1150,1110,1040,1060,2020-21,1
Toby Alderweireld,Spurs,88,DEF,1,0,10,2,0,25,1,0,0,0,4,55,23.0,2240,4,1190,1250,1130,1170,1250,1290,2020-21,0
Diogo Jota,Liverpool,86,MID,9,0,4,2,0,15,0,0,0,0,9,65,10.0,1106,4,1250,1210,1190,1210,1300,1230,2020-21,0
Jannik Vestergaard,Southampton,86,DEF,3,1,6,3,1,47,0,0,0,0,4,45,25.0,2574,3,1060,1100,1030,1110,1110,1160,2020-21,0
Declan Rice,West Ham,86,MID,2,1,11,2,0,37,0,1,0,0,2,50,31.0,2880,4,1230,1260,1140,1190,1260,1290,2020-21,0
Ivan Ricardo Neves Abreu Cavaleiro,Fulham,85,MID,3,0,7,2,0,43,0,1,0,0,4,55,26.0,2465,3,1090,1100,1150,1110,1040,1060,2020-21,1
Allan Saint-Maximin,Newcastle,85,MID,3,5,7,0,0,26,0,0,0,0,5,55,18.0,1554,2,1050,1070,1050,1060,1030,1110,2020-21,0
