name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,count_gws_min_minutes,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season,promoted_from_championship
Aaron Ramsey,Arsenal,56,MID,1,4,4,3,0,20,0,0,0,0,3,80,10.0,4,0,0,0,0,0,0,2016-17,0
Glen Johnson,Stoke,56,DEF,0,0,6,1,0,34,0,0,0,0,3,50,21.0,2,0,0,0,0,0,0,2016-17,0
Nathan Aké,Chelsea,55,DEF,3,1,3,1,0,20,0,0,0,0,8,45,9.0,3,0,0,0,0,0,0,2016-17,0
Pedro Obiang,West Ham,55,MID,1,2,4,7,0,32,0,0,0,0,6,45,19.0,3,0,0,0,0,0,0,2016-17,0
Bacary Sagna,Man City,55,DEF,0,1,6,2,0,14,0,0,0,0,3,55,13.0,4,0,0,0,0,0,0,2016-17,0
Phil Jones,Man Utd,55,DEF,0,0,5,2,0,14,0,0,0,0,4,50,16.0,4,0,0,0,0,0,0,2016-17,0
Vincent Janssen,Spurs,55,FWD,2,3,3,0,0,8,0,0,0,0,3,80,7.0,1,0,0,0,0,0,0,2016-17,0
Tom Cleverley,Watford,55,MID,0,3,3,4,0,40,0,0,0,0,0,55,20.0,2,0,0,0,0,0,0,2016-17,0
Sofiane Feghouli,West Ham,55,MID,3,3,1,1,1,23,0,0,0,0,4,55,9.0,3,0,0,0,0,0,0,2016-17,0
Claudio Yacob,West Brom,54,MID,0,0,4,9,0,36,0,0,0,0,0,45,26.0,2,0,0,0,0,0,0,2016-17,0
Enner Valencia,Everton,54,FWD,3,3,2,1,0,12,0,0,0,0,3,55,7.0,2,0,0,0,0,0,0,2016-17,0
Cristhian Stuani,Middlesbrough,54,FWD,4,0,4,4,0,15,0,0,0,0,4,50,15.0,1,0,0,0,0,0,0,2016-17,1
Mason Holgate,Everton,54,DEF,0,1,5,2,0,18,0,0,0,0,5,45,14.0,2,0,0,0,0,0,0,2016-17,0
Daniel Sturridge,Liverpool,54,FWD,3,5,3,1,0,7,0,0,0,0,2,100,6.0,4,0,0,0,0,0,0,2016-17,0
Manuel Agudo Durán,Man City,54,MID,4,3,3,3,1,7,0,0,0,0,2,90,7.0,4,0,0,0,0,0,0,2016-17,0
Daniel Amartey,Leicester,53,MID,1,1,4,3,0,35,0,0,0,0,3,45,17.0,5,0,0,0,0,0,0,2016-17,0
Tom Carroll,Swansea,52,MID,1,2,5,1,0,18,0,0,0,0,4,45,15.0,2,0,0,0,0,0,0,2016-17,0
James McClean,West Brom,52,MID,1,3,2,9,0,24,0,0,0,0,1,50,10.0,2,0,0,0,0,0,0,2016-17,0
Francis Coquelin,Arsenal,52,MID,0,1,5,5,0,27,0,0,0,0,1,45,19.0,4,0,0,0,0,0,0,2016-17,0
Kelechi Iheanacho,Man City,52,FWD,4,3,1,0,0,9,0,0,0,0,6,70,1.0,4,0,0,0,0,0,0,2016-17,0
Chris Smalling,Man Utd,52,DEF,1,1,4,0,0,16,0,0,0,0,1,60,12.0,4,0,0,0,0,0,0,2016-17,0
Mame Biram Diouf,Stoke,51,FWD,1,2,5,3,0,26,0,0,0,0,2,60,14.0,2,0,0,0,0,0,0,2016-17,0
Dean Marney,Burnley,51,MID,1,2,5,7,0,28,0,0,0,0,1,45,20.0,1,0,0,0,0,0,0,2016-17,1
Kieran Trippier,Spurs,51,DEF,0,5,3,1,0,3,0,0,0,0,7,50,6.0,1,0,0,0,0,0,0,2016-17,0
Damien Delaney,Crystal Palace,51,DEF,0,2,3,8,0,39,0,0,0,0,3,50,20.0,2,0,0,0,0,0,0,2016-17,0
Jack Cork,Swansea,50,MID,0,1,3,7,0,51,2,0,0,0,0,50,25.0,2,0,0,0,0,0,0,2016-17,0
Adnan Januzaj,Sunderland,49,MID,0,3,3,3,1,38,0,0,0,0,0,55,18.0,2,0,0,0,0,0,0,2016-17,0
Dan Gosling,Bournemouth,49,MID,2,0,4,6,0,24,0,0,0,0,2,50,12.0,2,0,0,0,0,0,0,2016-17,0
Fabio Borini,Sunderland,49,FWD,2,0,5,5,0,34,0,0,0,0,3,55,18.0,2,0,0,0,0,0,0,2016-17,0
Jesús Navas,Man City,48,MID,0,3,2,2,0,17,0,0,0,0,6,65,9.0,4,0,0,0,0,0,0,2016-17,0
Michy Batshuayi,Chelsea,48,FWD,5,1,0,0,0,3,0,0,0,0,4,90,1.0,3,0,0,0,0,0,0,2016-17,0
Marouane Fellaini,Man Utd,48,MID,1,0,10,8,1,14,0,0,0,0,0,60,15.0,4,0,0,0,0,0,0,2016-17,0
