name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,count_gws_min_minutes,minutes_played,min_gw,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season,promoted_from_championship,season_start,name_season
Jordan Pickford,Sunderland,102,GK,0,0,4,0,0,50,0,0,0,135,9,40,28.0,2610,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Jordan Pickford (2016-17)
Winston Reid,West Ham,102,DEF,2,3,9,8,1,48,0,0,0,0,16,50,29.0,2587,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Winston Reid (2016-17)
Juan Mata,Man Utd,102,MID,6,3,10,3,0,16,1,0,0,0,14,75,18.0,1614,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Juan Mata (2016-17)
Víctor Valdés,Middlesbrough,102,GK,0,0,8,1,0,36,0,0,0,79,10,45,28.0,2520,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,1,2016,Víctor Valdés (2016-17)
Ryan Fraser,Bournemouth,100,MID,3,9,7,3,0,32,0,0,0,0,8,50,18.0,1764,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Ryan Fraser (2016-17)
Nicolás Otamendi,Man City,100,DEF,1,2,9,9,0,28,0,0,0,0,10,60,27.0,2592,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Nicolás Otamendi (2016-17)
Chris Brunt,West Brom,99,DEF,3,4,4,5,0,37,0,0,0,0,11,50,25.0,2477,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Chris Brunt (2016-17)
Jose Fonte,West Ham,98,DEF,0,0,11,4,0,46,0,0,0,0,10,55,32.0,2934,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Jose Fonte (2016-17)
Daley Blind,Man Utd,98,DEF,1,2,9,2,0,17,0,0,0,0,14,55,18.0,1830,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Daley Blind (2016-17)
Patrick van Aanholt,Crystal Palace,98,DEF,5,1,5,3,0,53,0,0,0,0,9,50,27.0,2498,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Patrick van Aanholt (2016-17)
Ander Herrera,Man Utd,97,MID,1,6,13,5,1,18,0,0,0,0,11,65,26.0,2465,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Ander Herrera (2016-17)
Joel Matip,Liverpool,97,DEF,1,0,9,3,0,25,0,0,0,0,7,55,27.0,2457,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Joel Matip (2016-17)
Divock Origi,Liverpool,96,FWD,7,4,7,0,0,18,0,0,0,0,8,70,13.0,1469,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Divock Origi (2016-17)
Anthony Martial,Man Utd,95,MID,4,6,9,2,0,13,0,0,0,0,9,95,14.0,1553,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Anthony Martial (2016-17)
Marc Albrighton,Leicester,95,MID,2,6,8,5,0,47,0,0,0,0,3,55,27.0,2412,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Marc Albrighton (2016-17)
Aleksandar Kolarov,Man City,95,DEF,1,1,9,6,0,27,1,0,0,0,7,60,27.0,2535,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Aleksandar Kolarov (2016-17)
Leroy Fer,Swansea,95,MID,6,2,4,9,0,49,0,0,0,0,5,50,25.0,2405,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Leroy Fer (2016-17)
Ryan Shawcross,Stoke,94,DEF,1,2,9,6,0,53,2,0,0,0,6,50,34.0,3150,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Ryan Shawcross (2016-17)
Alfie Mawson,Swansea,94,DEF,4,0,7,1,0,45,2,0,0,0,9,45,27.0,2430,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Alfie Mawson (2016-17)
Ben Mee,Burnley,94,DEF,1,2,9,5,0,49,2,0,0,0,6,45,33.0,3015,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,1,2016,Ben Mee (2016-17)
Eric Dier,Spurs,93,MID,2,0,16,6,0,24,0,0,0,0,4,55,32.0,3043,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Eric Dier (2016-17)
James McArthur,Crystal Palace,93,MID,5,3,3,5,0,39,0,0,0,0,8,50,23.0,1999,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,James McArthur (2016-17)
Jason Puncheon,Crystal Palace,92,MID,0,6,7,9,0,53,0,0,0,0,6,55,33.0,3093,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Jason Puncheon (2016-17)
