Player,Position,Championship Season,Championship Goals,FPL Season,FPL Points,FPL Goals,FPL Assists,FPL Value,Player (FPL Season),Player (FPL Season) - Short,Championship Team,FPL Team
Nathaniel Mendez-Laing,MID,2017-18,6,2018-19,63.0,4.0,1.0,50.0,Nathaniel Mendez-Laing (2018-19),Mendez/Laing: 18/19,Cardiff,Cardiff
Albert Adomah,MID,2015-16,6,2016-17,3.0,0.0,0.0,55.0,Albert Adomah (2016-17),Adomah: 16/17,Middlesbrough,Middlesbrough
Ezgjan Alioski,DEF,2019-20,6,2020-21,110.0,2.0,3.0,45.0,Ezgjan Alioski (2020-21),Alioski: 20/21,Leeds,Leeds
Bobby De Cordova-Reid,FWD,2019-20,6,2020-21,88.0,5.0,3.0,55.0,Bobby De Cordova-Reid (2020-21),De Cordova/Reid: 20/21,Fulham,Fulham
Jack Harrison,MID,2019-20,6,2020-21,160.0,8.0,10.0,55.0,Jack Harrison (2020-21),Harrison: 20/21,Leeds,Leeds
John McGinn,MID,2018-19,6,2019-20,84.0,3.0,3.0,55.0,John McGinn (2019-20),McGinn: 19/20,Aston Villa,Aston Villa
Jack Grealish,MID,2018-19,6,2019-20,149.0,8.0,7.0,60.0,Jack Grealish (2019-20),Grealish: 19/20,Aston Villa,Aston Villa
Mark Duffy,MID,2018-19,6,2019-20,0.0,0.0,0.0,55.0,Mark Duffy (2019-20),Duffy: 19/20,Sheffield Utd,Sheffield Utd
Anass Zaroury,MID,2022-23,6,2023-24,4.0,0.0,0.0,50.0,Anass Zaroury (2023-24),Zaroury: 23/24,Burnley,Burnley
Anel Ahmedhodžić,DEF,2022-23,6,2023-24,31.0,2.0,0.0,45.0,Anel Ahmedhodžić (2023-24),Ahmedhodžić: 23/24,Sheffield Utd,Sheffield Utd
Sam Clucas,MID,2015-16,6,2016-17,87.0,3.0,1.0,50.0,Sam Clucas (2016-17),Clucas: 16/17,Hull,Hull
Todd Cantwell,MID,2020-21,6,2021-22,10.0,0.0,0.0,55.0,Todd Cantwell (2021-22),Cantwell: 21/22,Norwich,Norwich
Christian Atsu,MID,2016-17,5,2017-18,78.0,2.0,4.0,50.0,Christian Atsu (2017-18),Atsu: 17/18,Newcastle,Newcastle
George Boyd,MID,2015-16,5,2016-17,92.0,2.0,2.0,55.0,George Boyd (2016-17),Boyd: 16/17,Burnley,Burnley
Joshua Dasilva,MID,2020-21,5,2021-22,7.0,0.0,0.0,55.0,Joshua Dasilva (2021-22),Dasilva: 21/22,Brentford,Brentford
Kieran Dowell,MID,2020-21,5,2021-22,41.0,1.0,1.0,55.0,Kieran Dowell (2021-22),Dowell: 21/22,Norwich,Norwich
Tariqe Fosu,MID,2020-21,5,2021-22,1.0,0.0,0.0,55.0,Tariqe Fosu (2021-22),Fosu: 21/22,Brentford,Brentford
Jonjo Shelvey,MID,2016-17,5,2017-18,73.0,1.0,4.0,55.0,Jonjo Shelvey (2017-18),Shelvey: 17/18,Newcastle,Newcastle
Ken Sema,MID,2020-21,5,2021-22,26.0,0.0,0.0,55.0,Ken Sema (2021-22),Sema: 21/22,Watford,Watford
Michael Keane,DEF,2015-16,5,2016-17,113.0,2.0,1.0,50.0,Michael Keane (2016-17),Keane: 16/17,Burnley,Burnley
Anwar el Ghazi,MID,2018-19,5,2019-20,93.0,4.0,5.0,55.0,Anwar el Ghazi (2019-20),el Ghazi: 19/20,Aston Villa,Aston Villa
James Chester,DEF,2018-19,5,2019-20,0.0,0.0,0.0,45.0,James Chester (2019-20),Chester: 19/20,Aston Villa,Aston Villa
Yoan Gouffran,MID,2016-17,5,2017-18,0.0,0.0,0.0,50.0,Yoan Gouffran (2017-18),Gouffran: 17/18,Newcastle,Newcastle
Andre Gray,FWD,2020-21,5,2021-22,0.0,0.0,0.0,55.0,Andre Gray (2021-22),Gray: 21/22,Watford,Watford
Stuart Dallas,DEF,2019-20,5,2020-21,171.0,8.0,3.0,45.0,Stuart Dallas (2020-21),Dallas: 20/21,Leeds,Leeds
Barry Douglas,DEF,2017-18,5,2018-19,0.0,0.0,0.0,50.0,Barry Douglas (2018-19),Douglas: 18/19,Wolves,Wolves
Jonathan Leko,MID,2019-20,5,2020-21,0.0,0.0,0.0,45.0,Jonathan Leko (2020-21),Leko: 20/21,West Brom,West Brom
Tom Cairney,MID,2017-18,5,2018-19,71.0,1.0,1.0,50.0,Tom Cairney (2018-19),Cairney: 18/19,Fulham,Fulham
Daryl Murphy,FWD,2016-17,5,2017-18,0.0,0.0,0.0,45.0,Daryl Murphy (2017-18),Murphy: 17/18,Newcastle,Newcastle
Hélder Costa,MID,2017-18,5,2018-19,52.0,1.0,2.0,50.0,Hélder Costa (2018-19),Costa: 18/19,Wolves,Wolves
Connor Roberts,DEF,2022-23,4,2023-24,12.0,0.0,1.0,45.0,Connor Roberts (2023-24),Roberts: 23/24,Burnley,Burnley
Grant Leadbitter,MID,2015-16,4,2016-17,28.0,1.0,0.0,50.0,Grant Leadbitter (2016-17),Leadbitter: 16/17,Middlesbrough,Middlesbrough
Jóhann Guðmundsson,MID,2022-23,4,2023-24,48.0,1.0,3.0,50.0,Jóhann Guðmundsson (2023-24),Guðmundsson: 23/24,Burnley,Burnley
Chris Basham,DEF,2018-19,4,2019-20,123.0,0.0,1.0,45.0,Chris Basham (2019-20),Basham: 19/20,Sheffield Utd,Sheffield Utd
Enda Stevens,DEF,2018-19,4,2019-20,142.0,2.0,4.0,50.0,Enda Stevens (2019-20),Stevens: 19/20,Sheffield Utd,Sheffield Utd
Timm Klose,DEF,2018-19,4,2019-20,9.0,0.0,0.0,45.0,Timm Klose (2019-20),Klose: 19/20,Norwich,Norwich
Jordan Hugill,FWD,2020-21,4,2021-22,0.0,0.0,0.0,55.0,Jordan Hugill (2021-22),Hugill: 21/22,Norwich,Norwich
Dan Gosling,MID,2020-21,4,2021-22,11.0,1.0,0.0,50.0,Dan Gosling (2021-22),Gosling: 21/22,Watford,Watford
Tom Cleverley,MID,2020-21,4,2021-22,48.0,0.0,2.0,50.0,Tom Cleverley (2021-22),Cleverley: 21/22,Watford,Watford
Tyler Roberts,MID,2019-20,4,2020-21,49.0,1.0,2.0,50.0,Tyler Roberts (2020-21),Roberts: 20/21,Leeds,Leeds
Aboubakar Kamara,MID,2019-20,4,2020-21,8.0,0.0,0.0,50.0,Aboubakar Kamara (2020-21),Kamara: 20/21,Fulham,Fulham
Luke Ayling,DEF,2019-20,4,2020-21,100.0,0.0,0.0,45.0,Luke Ayling (2020-21),Ayling: 20/21,Leeds,Leeds
Ben Godfrey,DEF,2018-19,4,2019-20,38.0,0.0,0.0,45.0,Ben Godfrey (2019-20),Godfrey: 19/20,Norwich,Norwich
