Player,Team,Position,Championship Season,Championship Assists,FPL Season,FPL Points,FPL Goals,FPL Assists,Player (FPL Season),Player (FPL Season) - Short
Stuart Dallas,Leeds,DEF,2019-20,3,2020-21,171.0,8.0,3.0,Stuart Dallas (2020-21),Dallas: 20/21
Tom Cairney,Fulham,MID,2019-20,3,2020-21,27.0,1.0,1.0,Tom Cairney (2020-21),Cairney: 20/21
Josh Onomah,Fulham,MID,2021-22,3,2022-23,2.0,0.0,0.0,Josh Onomah (2022-23),Onomah: 22/23
Lukas Rupp,Norwich,MID,2020-21,3,2021-22,23.0,0.0,0.0,Lukas Rupp (2021-22),Rupp: 21/22
Jefferson Lerma,Bournemouth,MID,2021-22,3,2022-23,101.0,5.0,0.0,Jefferson Lerma (2022-23),Lerma: 22/23
Ezgjan Alioski,Leeds,DEF,2019-20,3,2020-21,110.0,2.0,3.0,Ezgjan Alioski (2020-21),Alioski: 20/21
Tariqe Fosu,Brentford,MID,2020-21,3,2021-22,1.0,0.0,0.0,Tariqe Fosu (2021-22),Fosu: 21/22
Troy Deeney,Watford,FWD,2020-21,3,2021-22,2.0,0.0,0.0,Troy Deeney (2021-22),Deeney: 21/22
Jack O'Connell,Sheffield Utd,DEF,2018-19,3,2019-20,111.0,0.0,1.0,Jack O'Connell (2019-20),O'Connell: 19/20
Scott McKenna,Nott'm Forest,DEF,2021-22,3,2022-23,40.0,0.0,0.0,Scott McKenna (2022-23),McKenna: 22/23
Jordan Rhodes,Middlesbrough,FWD,2015-16,3,2016-17,8.0,0.0,0.0,Jordan Rhodes (2016-17),Rhodes: 16/17
Jamie Murphy,Brighton,MID,2016-17,3,2017-18,6.0,0.0,0.0,Jamie Murphy (2017-18),Murphy: 17/18
Matthew Lowton,Burnley,DEF,2015-16,3,2016-17,90.0,0.0,2.0,Matthew Lowton (2016-17),Lowton: 16/17
Grant Leadbitter,Middlesbrough,MID,2015-16,3,2016-17,28.0,1.0,0.0,Grant Leadbitter (2016-17),Leadbitter: 16/17
George Friend,Middlesbrough,DEF,2015-16,3,2016-17,59.0,0.0,3.0,George Friend (2016-17),Friend: 16/17
Neeskens Kebano,Fulham,MID,2017-18,3,2018-19,7.0,0.0,0.0,Neeskens Kebano (2018-19),Kebano: 18/19
Stephen Ward,Burnley,DEF,2015-16,3,2016-17,91.0,1.0,1.0,Stephen Ward (2016-17),Ward: 16/17
Rajiv van La Parra,Huddersfield,MID,2016-17,3,2017-18,74.0,3.0,0.0,Rajiv van La Parra (2017-18),van La Parra: 17/18
Momo Diamé,Newcastle,MID,2016-17,3,2017-18,70.0,2.0,0.0,Momo Diamé (2017-18),Diamé: 17/18
Chris Löwe,Huddersfield,DEF,2016-17,3,2017-18,60.0,0.0,0.0,Chris Löwe (2017-18),Löwe: 17/18
Christian Atsu,Newcastle,MID,2016-17,3,2017-18,78.0,2.0,4.0,Christian Atsu (2017-18),Atsu: 17/18
Gastón Ramírez,Middlesbrough,MID,2015-16,2,2016-17,59.0,2.0,3.0,Gastón Ramírez (2016-17),Ramírez: 16/17
Moses Odubajo,Hull,DEF,2015-16,2,2016-17,0.0,0.0,0.0,Moses Odubajo (2016-17),Odubajo: 16/17
Emilio N'Sue,Middlesbrough,DEF,2015-16,2,2016-17,10.0,0.0,0.0,Emilio N'Sue (2016-17),N'Sue: 16/17
Dean Marney,Burnley,MID,2015-16,2,2016-17,51.0,1.0,2.0,Dean Marney (2016-17),Marney: 16/17
Shaun Maloney,Hull,MID,2015-16,2,2016-17,24.0,1.0,2.0,Shaun Maloney (2016-17),Maloney: 16/17
Michael Kightly,Burnley,MID,2015-16,2,2016-17,6.0,0.0,0.0,Michael Kightly (2016-17),Kightly: 16/17
Harrison Reed,Fulham,MID,2021-22,2,2022-23,107.0,3.0,4.0,Harrison Reed (2022-23),Reed: 22/23
Michael Keane,Burnley,DEF,2015-16,2,2016-17,113.0,2.0,1.0,Michael Keane (2016-17),Keane: 16/17
Callum Robinson,West Brom,FWD,2019-20,2,2020-21,79.0,5.0,3.0,Callum Robinson (2020-21),Robinson: 20/21
Kalvin Phillips,Leeds,MID,2019-20,2,2020-21,67.0,1.0,2.0,Kalvin Phillips (2020-21),Phillips: 20/21
Michael Hector,Fulham,DEF,2019-20,2,2020-21,0.0,0.0,0.0,Michael Hector (2020-21),Hector: 20/21
Tim Ream,Fulham,DEF,2021-22,2,2022-23,98.0,1.0,0.0,Tim Ream (2022-23),Ream: 22/23
Jack Stacey,Bournemouth,DEF,2021-22,2,2022-23,6.0,0.0,0.0,Jack Stacey (2022-23),Stacey: 22/23
Adam Smith,Bournemouth,DEF,2021-22,2,2022-23,74.0,0.0,1.0,Adam Smith (2022-23),Smith: 22/23
Tom Cleverley,Watford,MID,2020-21,2,2021-22,48.0,0.0,2.0,Tom Cleverley (2021-22),Cleverley: 21/22
Marco Stiepermann,Norwich,MID,2020-21,2,2021-22,0.0,0.0,0.0,Marco Stiepermann (2021-22),Stiepermann: 21/22
Mads Roerslev,Brentford,DEF,2020-21,2,2021-22,41.0,1.0,1.0,Mads Roerslev (2021-22),Roerslev: 21/22
Rico Henry,Brentford,DEF,2020-21,2,2021-22,108.0,3.0,0.0,Rico Henry (2021-22),Henry: 21/22
Dan Gosling,Watford,MID,2020-21,2,2021-22,11.0,1.0,0.0,Dan Gosling (2021-22),Gosling: 21/22
